시설명,시설주소,X,Y,현인원,사고건수
서대문장애인주간보호시설,서울특별시 서대문구 북아현로4차길 4,126.9603362,37.560843,13.0,15.0
서은장애인단기보호시설,서울특별시 서대문구 가좌로 19,126.9332741,37.5768187,10.0,26.0
브니엘공동생활가정,서울특별시 은평구 증산로19길 28-10,126.9118723,37.5957549,4.0,0.0
벧엘공동생활가정,서울특별시 은평구 가좌로 312-11,126.9108154,37.5959675,4.0,0.0
중계종합사회복지관장애인주간보호센터,서울특별시 노원구 덕릉로 662,127.0761681,37.6566031,15.0,21.0
새생명장애인주간보호소,서울특별시 영등포구 도림로 310-1301,126.9026232,37.5052505,20.0,0.0
비둘기주간보호시설,서울특별시 종로구 동숭4길 28,127.0051591,37.5836439,13.0,10.0
비둘기직업적응훈련센터,서울특별시 종로구 동숭4길 28,127.0051591,37.5836439,31.0,10.0
중구수어통역센터,서울특별시 중구 퇴계로20길 41-11,126.9867946,37.5587736,2092.0,12.0
미술작은예수의집,서울특별시 송파구 가락로11길 12-6,127.1048461,37.5014657,4.0,33.0
영등포구수어통역센터,서울특별시 영등포구 경인로112길 13,126.9142793,37.5181215,5974.0,87.0
노원구수어통역센터,서울특별시 노원구 상계로23길 17,127.0685263,37.6588188,1073.0,29.0
(사)대한안마사협회부설안마수련원,서울특별시 서초구 서초중앙로22길 105,127.0195582,37.4945468,59.0,23.0
한마음주간보호시설,서울특별시 강북구 삼양로 432,127.0168442,37.6419832,12.0,24.0
한마음단기거주시설,서울특별시 강북구 삼양로119길 12,127.0153651,37.644275,10.0,25.0
햇빛자리,서울특별시 용산구 백범로47길 24,126.9595018,37.5409601,10.0,17.0
마포장애인주간보호센터,서울특별시 마포구 성산로4길 35,126.9084724,37.5637867,10.0,24.0
마포점자도서실,서울특별시 마포구 망원2동 451-1,126.9022827,37.560312,10.0,14.0
피어라희망센터,서울특별시 도봉구 도봉로120길 16,127.0374123,37.6502813,20.0,25.0
무지개동산주간보호,서울특별시 송파구 성내천로22길 16,127.1465243,37.4996035,9.0,39.0
송파구수어통역센터,서울특별시 송파구 문정로 13,127.1242288,37.4864433,3860.0,25.0
성동구수어통역센터,서울특별시 성동구 청계천로 516,127.033664,37.5703813,5304.0,9.0
마라주간보호센터,서울특별시 송파구 송이로34길 43-1,127.1288539,37.484523,10.0,17.0
주몽재활의원,서울특별시 강동구 상암로 369 상일동 179,127.1636346,37.5461957,70.0,0.0
장애인주간보호시설인강원,서울특별시 도봉구 평화로15번길 9-25,127.0424217,37.6946661,12.0,6.0
보호작업장 인강원,서울특별시 도봉구 평화로15번길 9-25,127.0424217,37.6946661,14.0,6.0
아미네,서울특별시 도봉구 시루봉로13가길 30,127.0305494,37.6676793,4.0,10.0
도봉주간보호센터,서울특별시 도봉구 도당로 53,127.0345039,37.6629717,10.0,14.0
마라제3공동생활가정,서울특별시 송파구 가락로5길 7-11,127.1014339,37.4999753,4.0,20.0
마라제1공동생활가정,서울특별시 송파구 송이로34길 43-1,127.1288539,37.484523,4.0,17.0
마라제2공동생활가정,서울특별시 송파구 송이로34길 43-1,127.1288539,37.484523,4.0,17.0
충현보호작업장,서울특별시 강남구 논현로98길 16,127.0367954,37.5035967,45.0,52.0
THE채움,서울특별시 송파구 마천로51길 28,127.1525802,37.4969049,10.0,19.0
헬렌켈러의집,서울특별시 강북구 삼양로91가길 8,127.0158309,37.6365179,4.0,28.0
강남구수어통역센터,서울특별시 강남구 학동로 343,127.0406346,37.5174488,5462.0,38.0
논현공동생활가정,서울특별시 강남구 강남대로120길 52,127.0274765,37.5076827,4.0,57.0
하상주간보호센터,서울특별시 강남구 개포로 613,127.0750392,37.4925,12.0,14.0
라온홈,서울특별시 마포구 잔다리로9길 21,126.9135931,37.5570508,4.0,0.0
한벗장애인주간보호시설,서울특별시 용산구 효창원로69길 42-3,126.9601812,37.5428585,10.0,7.0
행복이가득한집,서울특별시 용산구 후암로28라길 9,126.9797776,37.54973,3.0,7.0
임마누엘목동공동체,서울특별시 양천구 목동중앙본로17길 29,126.8675439,37.541706,4.0,9.0
실로암배움울타리,서울특별시 관악구 조원로12길 66-0,126.9061651,37.4814709,5.0,32.0
